"DEPT_ID";"SORT_ORDER";"DEPT_NAME";"PARENT_DEPT_ID";"ISNODE";"ETP_ID";"IS_CUSTOMER";"IS_ORGANIZER";"LOCATIONS";"LEGAL_ADDRESS"
"2";"2";"АО «РАО ЭС Востока»";"-1";"0";"19668";"1";"1";"";""
"3";"3";"ОАО ""Сахалинэнерго""";"-1";"0";"148";"1";"1";"";""
"4";"4";"ОАО ""ДГК""";"-1";"0";"7864";"1";"1";"";""
"5";"5";"ОАО ""ДРСК""";"-1";"0";"142";"1";"1";"";""
"6";"6";"ОАО ""ДЭК""";"-1";"0";"9595";"1";"1";"";""
"7";"7";"ОАО ""Якутскэнерго""";"-1";"0";"906";"1";"1";"";""
"8";"8";"ОАО ""Магаданэнерго""";"-1";"0";"378";"1";"1";"";""
"9";"9";"ОАО ""Камчатскэнерго""";"-1";"0";"327";"1";"1";"";""
"11";"11";"OAO ""ДВЭУК""";"-1";"0";"5337";"0";"0";"";""
"300000";"300000";"Филиалы ОАО ""Сахалинэнерго""";"3";"1";"";"0";"0";"";""
"300001";"300001";"Исполнительный аппарат ОАО ""Сахалинэнерго""";"3";"0";"";"1";"1";"";""
"300002";"300002";"ОП ""Сахалинская ГРЭС""";"300000";"0";"";"1";"1";"";""
"300003";"300003";"ОП ""Южно-Сахалинская ГРЭС-1""";"300000";"0";"";"1";"0";"";""
"300005";"300005";"""Распределительные сети""";"300000";"0";"";"1";"1";"";""
"300006";"300006";"ОП ""Энергосбыт""";"300000";"0";"";"1";"0";"";""
"301000";"301000";"НОУ ""Учебный центр ОАО ""Сахалинэнерго""";"3";"0";"";"0";"0";"";""
"302000";"302000";"ООО ИК ""Энергоинвест""";"3";"0";"";"0";"0";"";""
"303000";"303000";"ОАО ""Новиковская дизельная станция""";"3";"0";"";"0";"0";"";""
"303001";"303001";"ОАО ""Сахалинская коммунальная компания""";"303000";"0";"";"0";"0";"";""
"400000";"400000";"Представительство ОАО ""ДГК""";"4";"0";"";"1";"1";"";""
"401000";"401000";"Хабаровская генерация";"4";"0";"";"1";"1";"";""
"401001";"401001";"Амурская ТЭЦ-1";"401000";"0";"";"1";"0";"";""
"401002";"401002";"Майская ГРЭС";"401000";"0";"";"1";"0";"";""
"401003";"401003";"Хабаровская ТЭЦ-1";"401000";"0";"";"1";"1";"";""
"401004";"401004";"Хабаровская ТЭЦ-3";"401000";"0";"";"1";"1";"";""
"401005";"401005";"Комсомольская-на-Амуре ТЭЦ-2";"401000";"0";"";"1";"1";"";""
"401006";"401006";"Комсомольская-на-Амуре ТЭЦ-3";"401000";"0";"";"1";"0";"";""
"401007";"401007";"Николаевская-на-Амуре ТЭЦ";"401000";"0";"";"1";"0";"";""
"402000";"402000";"Хабаровская теплосетевая компания";"4";"0";"";"1";"1";"";""
"402001";"402001";"Исполнительный аппарат ХТСК (ИА)";"402000";"0";"";"1";"1";"";""
"402002";"402002";"Хабаровские тепловые сети (ХТС)";"402000";"0";"";"1";"0";"";""
"402003";"402003";"Хабаровская ТЭЦ-2 (ХТЭЦ-2)";"402000";"0";"";"1";"0";"";""
"402004";"402004";"Комсомольские тепловые сети (КТС)";"402000";"0";"";"1";"0";"";""
"402005";"402005";"Биробиджанская ТЭЦ (БТЭЦ)";"402000";"0";"";"1";"0";"";""
"402006";"402006";"Ургальская котельная";"402000";"0";"";"1";"0";"";""
"403000";"403000";"Приморская генерация";"4";"0";"";"1";"1";"";""
"403001";"403001";"Артемовская ТЭЦ";"403000";"0";"";"1";"0";"";""
"403002";"403002";"Владивостокская ТЭЦ-2";"403000";"0";"";"1";"0";"";""
"403003";"403003";"Партизанская ГРЭС";"403000";"0";"";"1";"0";"";""
"404000";"404000";"Приморские тепловые сети";"4";"0";"";"1";"1";"";""
"405000";"405000";"ЛуТЭК";"4";"0";"";"1";"1";"";""
"405001";"405001";"Приморская ГРЭС";"405000";"0";"";"1";"1";"";""
"405002";"405002";"РУ ""Лучегорское""";"405000";"0";"";"1";"1";"";""
"406000";"406000";"Нерюнгринская ГРЭС_1";"4";"0";"";"1";"1";"";""
"406001";"406001";"Нерюнгринская ГРЭС";"406000";"0";"";"1";"1";"";""
"406002";"406002";"Чулманская ТЭЦ";"406000";"0";"";"0";"0";"";""
"407000";"407000";"Амурская генерация";"4";"0";"";"1";"1";"";""
"407001";"407001";"Благовещенская ГРЭС";"407000";"0";"";"1";"0";"";""
"407002";"407002";"Райчихинская ГРЭС";"407000";"0";"";"1";"0";"";""
"500000";"500000";"Исполнительный аппарат ОАО ""ДРСК""";"5";"0";"";"1";"1";"";""
"500001";"500001";"Амурские ЭС";"5";"0";"";"1";"1";"";""
"500002";"500002";"Приморские ЭС";"5";"0";"";"1";"1";"";""
"500003";"500003";"Хабаровские ЭС";"5";"0";"";"1";"1";"";""
"500004";"500004";"Электрические сети ЕАО";"5";"0";"";"1";"1";"";""
"500005";"500005";"Южно-Якутские ЭС";"5";"0";"";"1";"1";"";""
"600000";"600000";"Филиалы ОАО ""ДЭК""";"6";"1";"";"0";"0";"";""
"600001";"600001";"Исполнительный аппарат ОАО ""ДЭК""";"6";"0";"";"1";"1";"";""
"600002";"600002";"Хабаровскэнергосбыт";"600000";"0";"";"1";"0";"";""
"600003";"600003";"Амурэнергосбыт";"600000";"0";"";"1";"0";"";""
"600004";"600004";"Дальэнергосбыт";"600000";"0";"";"1";"0";"";""
"600005";"600005";"Энергосбыт ЕАО";"600000";"0";"";"1";"0";"";""
"601000";"601000";"ОАО ""Дальэнергоремонт""";"6";"0";"";"0";"0";"";""
"602000";"602000";"ОАО ""Хабаровская ремонтно-монтажная компания""";"6";"0";"3697";"0";"0";"";""
"603000";"603000";"ОАО ""Хабаровская производственно-ремонтная компания""";"6";"0";"2527";"0";"0";"";""
"604000";"604000";"ОАО ""ПРП Приморэнергоремонт""";"6";"0";"4891";"0";"0";"";""
"605000";"605000";"ОАО ""ПРП-станции""";"6";"0";"";"0";"0";"";""
"606000";"606000";"ОАО ""ПРП-сети""";"6";"0";"2795";"0";"0";"";""
"607000";"607000";"ОАО ""Владсетьремонт""";"6";"0";"27935";"0";"0";"";""
"608000";"608000";"ОАО ""Хабаровскэлктросеть ремонт""";"6";"0";"";"0";"0";"";""
"609000";"609000";"ОАО ""Нерюнгриэнергоремонт""";"6";"0";"2765";"0";"0";"";""
"610000";"610000";"ОАО ""Губеровский РМЗ""";"6";"0";"15241";"0";"0";"";""
"611000";"611000";"ОАО ""Энергостройтранс""";"6";"0";"";"0";"0";"";""
"612000";"612000";"ОАО ""Дальэнергоспецремонт""";"6";"0";"5827";"0";"0";"";""
"613000";"613000";"ОАО ""Хабаровская ремонтно-строительная компания""";"6";"0";"10457";"0";"0";"";""
"614000";"614000";"ОАО ""Дальэнергосетьпроект""";"6";"0";"";"0";"0";"";""
"615000";"615000";"ОАО ""Дальтехэнерго""";"6";"0";"8657";"0";"0";"";""
"616000";"616000";"ОАО ""Хабаровская энерготехнологическая компания""";"6";"0";"5005";"0";"0";"";""
"617000";"617000";"ОАО ""Жилищно-коммунальное управление""";"6";"0";"";"0";"0";"";""
"618000";"618000";"ОАО ""Дальэнерготехкомплект""";"6";"0";"1260";"0";"0";"";""
"619000";"619000";"ОАО ""Энерготорг""";"6";"0";"";"0";"0";"";""
"620000";"620000";"ОАО ""Энергия-Тур""";"6";"0";"";"0";"0";"";""
"621000";"621000";"ОАО ""Родник здоровья""";"6";"0";"";"0";"0";"";""
"622000";"622000";"ОАО ""Оздоровительный лагерь ""Амурская жемчужина""";"6";"0";"";"0";"0";"";""
"623000";"623000";"ОАО ""АТП ЛуТЭК""";"6";"0";"";"0";"0";"";""
"624000";"624000";"ОАО ""АвтотранспортЭнерго""";"6";"0";"";"0";"0";"";""
"625000";"625000";"ОАО ""СК ""Агроэнерго""";"6";"0";"";"0";"0";"";""
"626000";"626000";"ОАО ""СО ""Лучегорское""";"6";"0";"";"0";"0";"";""
"700000";"700000";"Филиалы ОАО ""Якутскэнерго""";"7";"1";"";"0";"0";"";""
"700001";"700001";"Исполнительный аппарат ОАО ""Якутскэнерго""";"7";"0";"";"1";"1";"";""
"700002";"700002";"Каскад Вилюйских ГЭС";"700000";"0";"";"0";"0";"";""
"700003";"700003";"Якутская ГРЭС";"700000";"0";"";"1";"0";"";""
"700004";"700004";"Якутская ТЭЦ";"700000";"0";"";"1";"1";"";""
"700005";"700005";"Западные электрические сети";"700000";"0";"";"1";"0";"";""
"700006";"700006";"Центральные электрические сети";"700000";"0";"";"1";"0";"";""
"700007";"700007";"Энергосбыт";"700000";"0";"";"0";"0";"";""
"701000";"701000";"ОАО ""Сахаэнерго""";"-1";"0";"4358";"1";"1";"";""
"701001";"701001";"Эльдиканские ЭС";"701000";"0";"";"0";"0";"";""
"701002";"701002";"Янские ЭС";"701000";"0";"";"0";"0";"";""
"701003";"701003";"Булунские ЭС";"701000";"0";"";"0";"0";"";""
"701004";"701004";"Олекминские ЭС";"701000";"0";"";"0";"0";"";""
"701005";"701005";"Верхоянские ЭС";"701000";"0";"";"0";"0";"";""
"701006";"701006";"Кобяйские ЭС";"701000";"0";"";"0";"0";"";""
"702000";"702000";"ОАО ""Теплоэнергосервис""";"-1";"0";"";"1";"1";"";""
"702001";"702001";"Вилюйский филиал";"702000";"0";"";"0";"0";"";""
"702002";"702002";"Усть-Майский филиал";"702000";"0";"";"0";"0";"";""
"702003";"702003";"Усть-Янский филиал";"702000";"0";"";"0";"0";"";""
"702004";"702004";"Оймяконский филиал";"702000";"0";"";"0";"0";"";""
"703000";"703000";"ОАО ""Якутская энергоремонтная компания""";"7";"0";"2986";"0";"0";"";""
"704000";"704000";"ОАО ""Энерготрансснаб""";"7";"0";"";"0";"0";"";""
"800000";"800000";"Филиалы ОАО ""Магаданэнерго""";"8";"1";"";"0";"0";"";""
"800001";"800001";"Исполнительный аппарат ОАО ""Магаданэнерго""";"8";"0";"";"1";"1";"";""
"800002";"800002";"Аркагалинская ГРЭС";"800000";"0";"";"1";"1";"";""
"800003";"800003";"Восточные электрические сети (ЭС)";"800000";"0";"";"1";"1";"";""
"800004";"800004";"Западные ЭС";"800000";"0";"";"1";"0";"";""
"800005";"800005";"Центральные ЭС";"800000";"0";"";"1";"1";"";""
"800006";"800006";"Магаданская ТЭЦ";"800000";"0";"";"1";"1";"";""
"800007";"800007";"Южные ЭС";"800000";"0";"";"1";"1";"";""
"800009";"800009";"Магаданэнергосбыт";"800000";"0";"";"1";"0";"";""
"800010";"800010";"Кафе ""Радуга""";"800000";"0";"";"0";"0";"";""
"801000";"801000";"ОАО ""Чукотэнерго""";"-1";"0";"8579";"1";"1";"";""
"801001";"801001";"Чаунская ТЭЦ";"801000";"0";"";"0";"0";"";""
"801002";"801002";"Эгвикинотская ГРЭС";"801000";"0";"";"0";"0";"";""
"801003";"801003";"Северные электрические сети";"801000";"0";"";"0";"0";"";""
"801004";"801004";"Анадырская ТЭЦ";"801000";"0";"";"0";"0";"";""
"802000";"802000";"ОАО ""Магаданэнергоремонт""";"8";"0";"";"0";"0";"";""
"803000";"803000";"ОАО ""Магаданэнергоналадка""";"8";"0";"16187";"0";"0";"";""
"805000";"805000";"ОАО ""Магаданэлектросеть""";"8";"0";"";"0";"0";"";""
"900000";"900000";"Филиалы ОАО ""Камчатскэнерго""";"9";"1";"";"0";"0";"";""
"900001";"900001";"Исполнительный аппарат ОАО ""Камчатскэнерго""";"9";"0";"";"1";"1";"";""
"900002";"900002";"Камчатские ТЭЦ";"900000";"0";"";"1";"1";"";""
"900003";"900003";"Центральные электрические сети";"900000";"0";"";"1";"1";"";""
"900004";"900004";"Энергосбыт";"900000";"0";"";"1";"0";"";""
"900005";"900005";"Региональное диспетчерское управление (РДУ)";"900000";"0";"";"1";"1";"";""
"901000";"901000";"ОАО ""АТП""";"9";"0";"";"0";"0";"";""
"902000";"902000";"ОАО ""Камчатская теплотранспортная компания""";"9";"0";"";"0";"0";"";""
"903000";"903000";"ОАО ""Камчатские ТЭЦ""";"9";"0";"";"1";"0";"";""
"904000";"904000";"ОАО ""Паужетская ГеоЭС""";"9";"0";"";"0";"0";"";""
"905000";"905000";"ОАО ""Центральные электрические сети""";"9";"0";"";"0";"0";"";""
"906000";"906000";"ОАО ""Южные ЭС Камчатки""";"-1";"0";"";"1";"1";"";""
"300004";"300004";"ОП ""Тепловые сети""";"300000";"0";"";"1";"0";"";""
"1000001";"12";"Сторонние организаторы";"-1";"0";"";"0";"0";"";""
"1000006";"1000006";"ОАО ""Камчатскэнергоремонт""";"9";"0";"6372";"0";"0";"";""
"1000003";"1000003";"ОАО ""СБ ""Энергозащита""";"1000001";"0";"";"0";"0";"";""
"1000004";"1000004";"Мэрия г. Магадана";"8";"0";"";"0";"1";"";""
"1000005";"1000005";"ЗАО ""Энергосервис - конкурентные закупки""";"-1";"0";"";"0";"0";"";""
"1000007";"1000007";"Лучегорский угольный разрез";"4";"0";"";"1";"1";"";""
"800008";"800008";"АТП";"800000";"0";"";"1";"0";"";""
"800011";"800011";"Магаданэнергопоставка";"800000";"0";"";"1";"0";"";""
"804000";"804000";"ОАО ""Магаданэнергосетьремонт""";"8";"0";"";"0";"0";"";""
"700008";"700008";"Якутские городские электрические сети";"700000";"0";"";"1";"0";"г. Якутск пер. Энергетиков 4";""
"1000011";"1000011";"ОАО ""Передвижная энергетика""";"-1";"0";"";"1";"1";"";""
"200032";"200032";"Дирекция технического аудита и промышленной безопасности";"2";"0";"";"0";"0";"";""
"200000";"200000";"Департамент эксплуатации";"2";"0";"";"0";"0";"";""
"200001";"200001";"Департамент ремонтов";"2";"0";"";"0";"0";"";""
"200002";"200002";"Департамент технической политики";"2";"0";"";"0";"0";"";""
"200003";"200003";"Департамент топливообеспечения";"2";"0";"";"0";"0";"";""
"200004";"200004";"Департамент закупок";"2";"0";"";"0";"0";"";""
"200005";"200005";"Департамент экономики ";"2";"0";"";"0";"0";"";""
"200006";"200006";"Департамент финансовой политики";"2";"0";"";"0";"0";"";""
"200007";"200007";"Департамент бухгалтерского и налогового учета";"2";"0";"";"0";"0";"";""
"200008";"200008";"Дирекция тарифообразования";"2";"0";"";"0";"0";"";""
"200009";"200009";"Департамент программ развития ";"2";"0";"";"0";"0";"";""
"200010";"200010";"Департамент инвестиций ";"2";"0";"";"0";"0";"";""
"200011";"200011";"Департамент корпоративного управления и взаимодействия с акционерами";"2";"0";"";"0";"0";"";""
"200012";"200012";"Департамент собственности";"2";"0";"";"0";"0";"";""
"200013";"200013";"Юридический департамент";"2";"0";"";"0";"0";"";""
"200014";"200014";"Департамент рынков капитала и взаимодействия с инвесторами";"2";"0";"";"0";"0";"";""
"200015";"200015";"Департамент общественных коммуникаций";"2";"0";"";"0";"0";"";""
"200016";"200016";"Департамент инноваций и трансферта технологий";"2";"0";"";"0";"0";"";""
"200017";"200017";"Дирекция хозяйственного обеспечения";"2";"0";"";"0";"0";"";""
"200018";"200018";"Департамент управления персоналом ";"2";"0";"";"0";"0";"";""
"200019";"200019";"Департамент экономической безопасности";"2";"0";"";"0";"0";"";""
"200020";"200020";"Дирекция по режиму ";"2";"0";"";"0";"0";"";""
"200021";"200021";"Департамент розничного рынка ";"2";"0";"";"0";"0";"";""
"200022";"200022";"Департамент оптового рынка электроэнергии";"2";"0";"";"0";"0";"";""
"200023";"200023";"Дирекция строительства ТЭЦ в г.Советская Гавань";"2";"0";"";"0";"0";"";""
"200024";"200024";"Департамент управления делами";"2";"0";"";"0";"0";"";""
"200025";"200025";"Аппарат Генерального директора ";"2";"0";"";"0";"0";"";""
"200026";"200026";"Департамент информационных технологий";"2";"0";"";"0";"0";"";""
"200027";"200027";"Департамент управления проектами строительства";"2";"0";"";"0";"0";"";""
"200028";"200028";"Дирекция внутреннего аудита";"2";"0";"";"0";"0";"";""
"200029";"200029";"Дирекция управления непрофильными активами";"2";"0";"";"0";"0";"";""
"13";"13";"ОАО РусГидро";"-1";"0";"";"1";"1";"";""
"200031";"200031";"Департамент стратегии";"2";"0";"";"0";"0";"";""
"14";"14";"ОАО ""ВОСТЭК""";"-1";"0";"";"1";"1";"129090, г. Москва, ул. Троицкая д. 7/1, стр.2";"119034, г. Москва, ул. Льва Толстого, д. 5/1"
"1000013";"1";"ПЭС ""Лабытнанги""";"1000011";"0";"";"1";"1";"";""
"1000008";"1000008";"Коммунальная Энергетика";"900000";"0";"";"0";"0";"";""
"1000009";"1000009";"ОАО ""Дальэнерготехкомплект""";"-1";"0";"";"0";"0";"";""
"200030";"200030";"Департамент капитального строительства";"2";"0";"";"0";"0";"";""
"1000014";"1000004";"ЗАО ""Конкурентные закупки""";"1000001";"0";"";"0";"1";"";""
